,OrderID,ClientName,MonthNum,Hour,Minute,Day,Prods,CliAvgSenti,SpAvgSenti,QtyOrdered,Sales
0,1001,Client1,1,20,51,4,"prod14,prod6,prod2",0.8,0.6,5,2400
1,1002,Client8,1,21,3,0,"prod2,prod15,prod15",0.4,0.4,10,9500
2,1003,Client0,1,18,22,4,"prod2,prod9,prod1",0.2,0.6,10,3200
3,1004,Client9,1,19,16,3,"prod4,prod13,prod3,prod12",0.6,0.4,14,4800
4,1005,Client0,1,14,57,3,"prod3,prod12,prod4",0.2,0.6,13,6300
5,1006,Client8,1,1,19,4,"prod2,prod15,prod14",0.6,0.2,7,2000
6,1007,Client2,1,16,41,4,"prod10,prod10",0.4,0.4,4,4000
7,1008,Client5,1,9,4,6,"prod15,prod11,prod9,prod15",0.4,0.6,13,4600
8,1009,Client8,1,14,0,5,"prod2,prod1,prod3",0.4,0.6,18,8800
9,1010,Client1,1,11,48,1,"prod4,prod12,prod2,prod9",0.2,0.4,20,7900
10,1011,Client2,1,19,23,6,"prod13,prod6,prod9",0.6,0.4,19,6500
11,1012,Client4,2,3,32,4,"prod4,prod15",0.6,0.8,8,7800
12,1013,Client0,1,12,36,3,"prod15,prod13,prod9,prod12",0.6,0.6,16,4800
13,1014,Client0,1,23,28,5,"prod1,prod1,prod15,prod13",0.6,0.6,18,13900
14,1015,Client0,1,9,29,4,"prod3,prod12,prod10",0.4,0.6,11,6100
15,1016,Client8,1,8,8,0,"prod1,prod11,prod2,prod3",0.8,0.4,16,8300
16,1017,Client2,1,20,59,1,"prod15,prod10",0.0,0.4,9,9000
17,1018,Client0,1,14,55,4,"prod2,prod1,prod1",0.6,0.8,8,5400
18,1019,Client9,1,20,25,1,"prod3,prod2,prod12",0.8,0.0,15,6900
19,1020,Client0,1,15,15,4,"prod2,prod11,prod12",0.2,0.4,7,3300
20,1021,Client0,1,9,35,5,"prod6,prod5,prod15",0.2,0.2,12,11000
21,1022,Client1,1,16,9,6,"prod7,prod15,prod14",0.2,0.6,15,10800
22,1023,Client0,1,13,49,4,"prod10,prod13,prod1,prod5",1.0,0.8,14,11200
23,1024,Client0,1,20,52,4,"prod12,prod13,prod12",0.4,0.6,15,3800
24,1025,Client0,1,23,20,1,"prod6,prod11,prod1",0.4,0.6,6,4000
25,1026,Client0,1,14,51,6,"prod1,prod13,prod2,prod5",0.4,0.2,16,10100
26,1027,Client8,1,8,45,0,"prod3,prod14,prod12",0.8,0.2,10,1500
27,1028,Client2,1,13,21,2,"prod15,prod3,prod15,prod3",0.4,0.6,26,13400
28,1029,Client3,1,23,26,6,"prod3,prod10,prod3",0.2,0.6,18,13100
29,1030,Client8,1,8,47,6,"prod15,prod14,prod14,prod6",0.2,0.6,10,2400
30,1031,Client0,1,8,59,6,"prod15,prod5",0.2,1.0,10,9100
31,1032,Client4,1,19,27,1,"prod1,prod15",0.8,0.6,5,4700
32,1033,Client0,1,11,56,1,"prod12,prod6,prod9",0.4,0.4,12,2000
33,1034,Client2,1,16,25,3,"prod1,prod4",0.4,0.0,2,1500
34,1035,Client3,1,20,56,2,"prod9,prod14,prod3",0.2,0.6,19,3900
35,1036,Client3,1,10,18,5,"prod2,prod14,prod3",0.2,0.4,17,3700
36,1037,Client0,1,19,21,4,"prod2,prod14,prod12",0.6,0.6,15,4300
37,1038,Client9,1,9,25,1,"prod1,prod5",0.6,0.4,9,7900
38,1039,Client0,1,12,11,3,"prod12,prod14,prod12",0.4,0.2,4,1300
39,1040,Client0,1,9,52,4,"prod15,prod14,prod10,prod15",0.6,0.6,15,6000
40,1041,Client2,1,17,23,2,"prod1,prod3,prod15,prod5",0.4,0.8,29,21600
41,1042,Client8,1,8,26,5,"prod15,prod13,prod1,prod6",0.6,0.2,17,7900
42,1043,Client2,1,18,47,2,"prod5,prod3,prod13,prod13",0.8,0.8,28,7200
43,1044,Client0,1,12,13,6,"prod1,prod13,prod14,prod3",0.8,0.4,19,4400
44,1045,Client1,1,17,29,6,"prod13,prod1,prod2",0.6,0.4,16,9300
45,1046,Client4,1,0,42,3,"prod15,prod8,prod12,prod5",0.4,0.2,19,9400
46,1047,Client0,1,21,38,1,"prod9,prod5,prod3",0.8,0.4,10,7000
47,1048,Client1,1,18,19,3,"prod15,prod5",1.0,0.4,7,6400
48,1049,Client0,1,12,47,4,"prod15,prod15",0.2,1.0,10,10000
49,1050,Client0,1,15,2,4,"prod10,prod9,prod13,prod2",0.4,1.0,22,7700
50,1051,Client2,1,19,29,0,"prod3,prod15,prod5",0.6,0.2,15,13300
51,1052,Client0,1,19,35,3,"prod13,prod14,prod4",0.8,0.6,14,7100
