,ProdName,ClientName,MonthNum,OrderID,OrderQty,OrderTotal,CliAvgSenti,SpAvgSenti,ProdPrice,Hour,Minute,Day
0,prod4,Client2,12,17393,22,14900,0.4,1.0,800,8,30,4
1,prod12,Client2,12,17393,22,14900,0.4,1.0,1600,8,30,4
2,prod2,Client2,12,17393,22,14900,0.4,1.0,3500,8,30,4
3,prod5,Client2,12,17393,22,14900,0.4,1.0,9000,8,30,4
4,prod14,Client4,12,17394,6,4100,0.8,0.4,100,17,28,3
5,prod10,Client4,12,17394,6,4100,0.8,0.4,3000,17,28,3
6,prod2,Client4,12,17394,6,4100,0.8,0.4,1000,17,28,3
7,prod14,Client2,12,17395,10,3300,0.6,0.6,100,17,22,4
8,prod12,Client2,12,17395,10,3300,0.6,0.6,2800,17,22,4
9,prod13,Client2,12,17395,10,3300,0.6,0.6,400,17,22,4
10,prod1,Client9,12,17396,28,13600,0.4,0.4,700,9,31,5
11,prod1,Client9,12,17396,28,13600,0.4,0.4,7000,9,31,5
12,prod14,Client9,12,17396,28,13600,0.4,0.4,1100,9,31,5
13,prod4,Client9,12,17396,28,13600,0.4,0.4,4800,9,31,5
14,prod13,Client6,12,17397,18,7700,0.2,0.4,200,21,5,3
15,prod6,Client6,12,17397,18,7700,0.2,0.4,4800,21,5,3
16,prod3,Client6,12,17397,18,7700,0.2,0.4,2700,21,5,3
17,prod1,Client0,12,17398,24,15200,0.6,0.4,700,18,36,6
18,prod1,Client0,12,17398,24,15200,0.6,0.4,7000,18,36,6
19,prod6,Client0,12,17398,24,15200,0.6,0.4,6000,18,36,6
20,prod2,Client0,12,17398,24,15200,0.6,0.4,1500,18,36,6
21,prod11,Client0,12,17399,20,10300,0.4,0.8,600,18,26,4
22,prod1,Client0,12,17399,20,10300,0.4,0.8,7000,18,26,4
23,prod3,Client0,12,17399,20,10300,0.4,0.8,2700,18,26,4
24,prod3,Client8,12,17400,18,14300,0.8,0.6,300,21,39,3
25,prod15,Client8,12,17400,18,14300,0.8,0.6,11000,21,39,3
26,prod2,Client8,12,17400,18,14300,0.8,0.6,3000,21,39,3
27,prod15,Client0,12,17401,7,4300,0.8,0.6,1000,15,58,6
28,prod11,Client0,12,17401,7,4300,0.8,0.6,1800,15,58,6
29,prod12,Client0,12,17401,7,4300,0.8,0.6,800,15,58,6
30,prod1,Client0,12,17401,7,4300,0.8,0.6,700,15,58,6
31,prod3,Client0,12,17402,15,11300,0.8,0.4,300,12,27,4
32,prod2,Client0,12,17402,15,11300,0.8,0.4,3000,12,27,4
33,prod15,Client0,12,17402,15,11300,0.8,0.4,8000,12,27,4
34,prod15,Client0,12,17403,23,14700,0.6,0.4,1000,21,20,6
35,prod2,Client0,12,17403,23,14700,0.6,0.4,2000,21,20,6
36,prod6,Client0,12,17403,23,14700,0.6,0.4,5400,21,20,6
37,prod1,Client0,12,17403,23,14700,0.6,0.4,6300,21,20,6
38,prod13,Client9,12,17404,10,2500,0.4,0.2,200,19,35,5
39,prod3,Client9,12,17404,10,2500,0.4,0.2,1500,19,35,5
40,prod13,Client9,12,17404,10,2500,0.4,0.2,800,19,35,5
41,prod13,Client2,12,17405,22,14600,0.6,0.4,200,23,27,2
42,prod12,Client2,12,17405,22,14600,0.6,0.4,4400,23,27,2
43,prod15,Client2,12,17405,22,14600,0.6,0.4,10000,23,27,2
44,prod10,Client8,12,17406,12,7900,0.6,0.4,1000,13,34,1
45,prod1,Client8,12,17406,12,7900,0.6,0.4,2100,13,34,1
46,prod15,Client8,12,17406,12,7900,0.6,0.4,4000,13,34,1
47,prod13,Client8,12,17406,12,7900,0.6,0.4,800,13,34,1
48,prod2,Client8,12,17407,8,1200,0.8,0.8,500,6,27,1
49,prod14,Client8,12,17407,8,1200,0.8,0.8,400,6,27,1
50,prod9,Client8,12,17407,8,1200,0.8,0.8,300,6,27,1
51,prod1,Client4,12,17408,22,14100,0.2,0.2,700,14,28,2
52,prod12,Client4,12,17408,22,14100,0.2,0.2,4000,14,28,2
53,prod13,Client4,12,17408,22,14100,0.2,0.2,400,14,28,2
54,prod10,Client4,12,17408,22,14100,0.2,0.2,9000,14,28,2
55,prod6,Client7,12,17409,13,12000,0.0,0.8,600,23,23,0
56,prod7,Client7,12,17409,13,12000,0.0,0.8,400,23,23,0
57,prod15,Client7,12,17409,13,12000,0.0,0.8,11000,23,23,0
58,prod2,Client4,12,17410,13,8700,0.6,0.6,500,16,22,2
59,prod14,Client4,12,17410,13,8700,0.6,0.6,200,16,22,2
60,prod4,Client4,12,17410,13,8700,0.6,0.6,8000,16,22,2
61,prod6,Client8,12,17411,9,4400,0.8,0.8,600,18,33,1
62,prod9,Client8,12,17411,9,4400,0.8,0.8,300,18,33,1
63,prod1,Client8,12,17411,9,4400,0.8,0.8,3500,18,33,1
64,prod11,Client0,12,17412,5,3300,0.2,0.8,600,18,44,3
65,prod4,Client0,12,17412,5,3300,0.2,0.8,2400,18,44,3
66,prod3,Client0,12,17412,5,3300,0.2,0.8,300,18,44,3
67,prod2,Client4,12,17413,11,4600,0.6,0.8,500,18,47,2
68,prod7,Client4,12,17413,11,4600,0.6,0.8,3600,18,47,2
69,prod2,Client4,12,17413,11,4600,0.6,0.8,500,18,47,2
70,prod15,Client0,12,17414,29,20700,0.8,0.6,1000,7,3,3
71,prod11,Client0,12,17414,29,20700,0.8,0.6,4200,7,3,3
72,prod15,Client0,12,17414,29,20700,0.8,0.6,10000,7,3,3
73,prod2,Client0,12,17414,29,20700,0.8,0.6,5500,7,3,3
74,prod12,Client0,12,17415,17,5000,0.4,0.4,400,11,27,1
75,prod9,Client0,12,17415,17,5000,0.4,0.4,600,11,27,1
76,prod12,Client0,12,17415,17,5000,0.4,0.4,4000,11,27,1
77,prod3,Client6,12,17416,6,4100,0.2,0.6,300,8,19,6
78,prod6,Client6,12,17416,6,4100,0.2,0.6,600,8,19,6
79,prod4,Client6,12,17416,6,4100,0.2,0.6,3200,8,19,6
80,prod6,Client4,12,17417,19,10700,0.6,0.2,600,20,56,6
81,prod6,Client4,12,17417,19,10700,0.6,0.2,6600,20,56,6
82,prod2,Client4,12,17417,19,10700,0.6,0.2,3500,20,56,6
83,prod2,Client6,12,17418,6,3800,0.6,0.8,500,22,5,1
84,prod5,Client6,12,17418,6,3800,0.6,0.8,900,22,5,1
85,prod11,Client6,12,17418,6,3800,0.6,0.8,2400,22,5,1
86,prod2,Client8,12,17419,18,4900,0.4,0.6,500,9,29,1
87,prod13,Client8,12,17419,18,4900,0.4,0.6,1400,9,29,1
88,prod3,Client8,12,17419,18,4900,0.4,0.6,3000,9,29,1
89,prod2,Client8,12,17420,10,3900,0.4,0.8,500,17,6,3
90,prod11,Client8,12,17420,10,3900,0.4,0.8,2400,17,6,3
91,prod8,Client8,12,17420,10,3900,0.4,0.8,1000,17,6,3
92,prod1,Client3,12,17421,22,4600,0.6,0.6,700,13,3,2
93,prod12,Client3,12,17421,22,4600,0.6,0.6,2400,13,3,2
94,prod14,Client3,12,17421,22,4600,0.6,0.6,1000,13,3,2
95,prod14,Client3,12,17421,22,4600,0.6,0.6,500,13,3,2
96,prod10,Client0,12,17422,6,6000,0.2,0.4,1000,10,11,3
97,prod15,Client0,12,17422,6,6000,0.2,0.4,5000,10,11,3
98,prod1,Client2,12,17423,26,11000,0.8,0.6,700,15,9,1
99,prod11,Client2,12,17423,26,11000,0.8,0.6,6000,15,9,1
100,prod2,Client2,12,17423,26,11000,0.8,0.6,3500,15,9,1
101,prod9,Client2,12,17423,26,11000,0.8,0.6,800,15,9,1
102,prod5,Client2,12,17424,16,6600,0.4,0.4,900,17,8,3
103,prod12,Client2,12,17424,16,6600,0.4,0.4,800,17,8,3
104,prod9,Client2,12,17424,16,6600,0.4,0.4,700,17,8,3
105,prod1,Client2,12,17424,16,6600,0.4,0.4,4200,17,8,3
106,prod15,Client5,12,17425,4,3700,1.0,0.8,1000,5,31,1
107,prod5,Client5,12,17425,4,3700,1.0,0.8,2700,5,31,1
108,prod10,Client8,12,17426,25,13300,0.6,0.8,1000,9,48,6
109,prod6,Client8,12,17426,25,13300,0.6,0.8,4200,9,48,6
110,prod14,Client8,12,17426,25,13300,0.6,0.8,900,9,48,6
111,prod5,Client8,12,17426,25,13300,0.6,0.8,7200,9,48,6
112,prod3,Client1,12,17427,14,7300,0.6,0.2,300,1,15,0
113,prod10,Client1,12,17427,14,7300,0.6,0.2,3000,1,15,0
114,prod12,Client1,12,17427,14,7300,0.6,0.2,4000,1,15,0
115,prod1,Client0,12,17428,22,17200,0.8,0.6,700,12,18,3
116,prod3,Client0,12,17428,22,17200,0.8,0.6,1500,12,18,3
117,prod4,Client0,12,17428,22,17200,0.8,0.6,4000,12,18,3
118,prod10,Client0,12,17428,22,17200,0.8,0.6,11000,12,18,3
119,prod15,Client4,12,17429,19,6200,0.2,0.8,1000,21,9,0
120,prod13,Client4,12,17429,19,6200,0.2,0.8,2000,21,9,0
121,prod12,Client4,12,17429,19,6200,0.2,0.8,2800,21,9,0
122,prod12,Client4,12,17429,19,6200,0.2,0.8,400,21,9,0
123,prod3,Client8,12,17430,15,2100,0.6,0.6,300,17,55,6
124,prod13,Client8,12,17430,15,2100,0.6,0.6,800,17,55,6
125,prod9,Client8,12,17430,15,2100,0.6,0.6,1000,17,55,6
126,prod9,Client7,12,17431,11,2900,0.8,0.8,100,17,14,3
127,prod12,Client7,12,17431,11,2900,0.8,0.8,1600,17,14,3
128,prod13,Client7,12,17431,11,2900,0.8,0.8,1200,17,14,3
129,prod12,Client4,12,17432,14,12600,0.8,0.6,400,19,59,2
