,OrderID,MonthNum,ClientName,Prods,QtyOrdered,Sales,CliSentiAvg,SpSentiAvg
0,1001,1,Client1,"prod14,prod6,prod2",5,2400,0.2,0.4
1,1002,1,Client8,"prod2,prod15,prod15",10,9500,0.4,0.4
2,1003,1,Client0,"prod2,prod9,prod1",10,3200,0.6,0.4
3,1004,1,Client9,"prod4,prod13,prod3,prod12",14,4800,0.2,0.6
4,1005,1,Client0,"prod3,prod12,prod4",13,6300,0.6,0.4
5,1006,1,Client8,"prod2,prod15,prod14",7,2000,0.2,0.6
6,1007,1,Client2,"prod10,prod10",4,4000,0.4,0.2
7,1008,1,Client5,"prod15,prod11,prod9,prod15",13,4600,0.0,0.2
8,1009,1,Client8,"prod2,prod1,prod3",18,8800,0.2,0.4
9,1010,1,Client1,"prod4,prod12,prod2,prod9",20,7900,0.0,0.4
10,1011,1,Client2,"prod13,prod6,prod9",19,6500,0.2,0.6
11,1012,2,Client4,"prod4,prod15",8,7800,0.4,0.4
12,1013,1,Client0,"prod15,prod13,prod9,prod12",16,4800,0.4,0.2
13,1014,1,Client0,"prod1,prod1,prod15,prod13",18,13900,0.4,0.0
14,1015,1,Client0,"prod3,prod12,prod10",11,6100,0.4,0.4
15,1016,1,Client8,"prod1,prod11,prod2,prod3",16,8300,0.4,0.0
16,1017,1,Client2,"prod15,prod10",9,9000,0.6,0.4
17,1018,1,Client0,"prod2,prod1,prod1",8,5400,0.2,0.2
18,1019,1,Client9,"prod3,prod2,prod12",15,6900,0.2,0.8
19,1020,1,Client0,"prod2,prod11,prod12",7,3300,0.4,0.4
20,1021,1,Client0,"prod6,prod5,prod15",12,11000,0.2,0.4
21,1022,1,Client1,"prod7,prod15,prod14",15,10800,0.2,1.0
22,1023,1,Client0,"prod10,prod13,prod1,prod5",14,11200,0.4,0.2
23,1024,1,Client0,"prod12,prod13,prod12",15,3800,0.6,0.2
24,1025,1,Client0,"prod6,prod11,prod1",6,4000,0.2,0.6
25,1026,1,Client0,"prod1,prod13,prod2,prod5",16,10100,0.2,0.6
26,1027,1,Client8,"prod3,prod14,prod12",10,1500,0.2,0.0
27,1028,1,Client2,"prod15,prod3,prod15,prod3",26,13400,0.2,0.4
28,1029,1,Client3,"prod3,prod10,prod3",18,13100,0.2,0.6
29,1030,1,Client8,"prod15,prod14,prod14,prod6",10,2400,0.2,0.6
30,1031,1,Client0,"prod15,prod5",10,9100,0.4,0.4
31,1032,1,Client4,"prod1,prod15",5,4700,0.6,0.2
32,1033,1,Client0,"prod12,prod6,prod9",12,2000,0.0,0.8
33,1034,1,Client2,"prod1,prod4",2,1500,0.2,0.4
34,1035,1,Client3,"prod9,prod14,prod3",19,3900,0.0,0.6
35,1036,1,Client3,"prod2,prod14,prod3",17,3700,0.2,0.8
36,1037,1,Client0,"prod2,prod14,prod12",15,4300,0.4,0.0
37,1038,1,Client9,"prod1,prod5",9,7900,0.4,0.2
38,1039,1,Client0,"prod12,prod14,prod12",4,1300,0.2,0.6
39,1040,1,Client0,"prod15,prod14,prod10,prod15",15,6000,0.0,0.2
40,1041,1,Client2,"prod1,prod3,prod15,prod5",29,21600,0.2,0.6
41,1042,1,Client8,"prod15,prod13,prod1,prod6",17,7900,0.4,0.0
42,1043,1,Client2,"prod5,prod3,prod13,prod13",28,7200,0.2,0.4
43,1044,1,Client0,"prod1,prod13,prod14,prod3",19,4400,0.2,0.4
44,1045,1,Client1,"prod13,prod1,prod2",16,9300,0.4,0.4
45,1046,1,Client4,"prod15,prod8,prod12,prod5",19,9400,0.2,0.4
46,1047,1,Client0,"prod9,prod5,prod3",10,7000,0.4,0.2
47,1048,1,Client1,"prod15,prod5",7,6400,0.6,0.2
48,1049,1,Client0,"prod15,prod15",10,10000,0.4,0.2
49,1050,1,Client0,"prod10,prod9,prod13,prod2",22,7700,0.2,0.6
50,1051,1,Client2,"prod3,prod15,prod5",15,13300,0.2,0.4
51,1052,1,Client0,"prod13,prod14,prod4",14,7100,0.6,0.2
52,1053,1,Client1,"prod2,prod12,prod15",16,11300,0.4,0.6
53,1054,1,Client8,"prod5,prod10",11,10900,0.2,0.4
54,1055,1,Client5,"prod12,prod1,prod14",4,1300,0.6,0.2
55,1056,1,Client3,"prod5,prod13,prod4,prod6",28,14500,0.4,0.4
56,1057,1,Client8,"prod15,prod10",4,4000,0.8,0.8
57,1058,1,Client1,"prod11,prod14,prod1",15,6200,0.6,0.4
58,1059,1,Client8,"prod10,prod1,prod15,prod15",14,12200,0.0,0.2
59,1060,1,Client6,"prod13,prod13,prod13",16,3200,0.2,0.6
60,1061,1,Client4,"prod14,prod10,prod11",11,8500,0.2,1.0
61,1062,1,Client9,"prod7,prod15,prod13",13,11600,0.4,0.6
62,1063,1,Client0,"prod5,prod2,prod15,prod2",22,14400,0.2,0.6
63,1064,1,Client0,"prod3,prod9,prod15",22,11400,0.0,0.4
64,1065,1,Client0,"prod14,prod4,prod12",20,11700,0.4,0.2
65,1066,1,Client0,"prod10,prod2,prod3,prod11",16,8700,0.0,0.8
66,1067,1,Client9,"prod3,prod11,prod12",18,8700,0.4,0.6
67,1068,1,Client2,"prod12,prod5,prod6",10,7900,0.2,0.6
68,1069,1,Client4,"prod12,prod6,prod13",4,1400,0.4,0.4
69,1070,1,Client0,"prod10,prod7,prod14,prod12",25,7600,0.2,0.4
70,1071,1,Client0,"prod3,prod6,prod13",20,8500,0.2,0.4
71,1072,1,Client6,"prod4,prod14,prod12,prod6",14,5300,0.2,0.6
72,1073,1,Client5,"prod7,prod12,prod14",14,3500,0.2,0.6
73,1074,1,Client4,"prod3,prod12,prod12",6,2300,0.2,1.0
74,1075,1,Client6,"prod12,prod4,prod5",16,13200,0.2,0.6
75,1076,1,Client0,"prod10,prod1,prod1,prod12",27,16500,0.2,0.8
76,1077,1,Client3,"prod5,prod14,prod1,prod5",19,10500,0.2,0.8
77,1078,1,Client0,"prod2,prod2,prod9",16,3600,0.2,0.2
78,1079,1,Client0,"prod4,prod1,prod13,prod2",25,12500,0.2,0.4
79,1080,1,Client5,"prod10,prod2,prod12,prod1",26,13800,0.2,0.8
80,1081,1,Client8,"prod13,prod12,prod10",13,6200,0.4,0.2
81,1082,1,Client2,"prod12,prod5,prod15",9,8300,0.2,0.6
82,1083,1,Client0,"prod1,prod6,prod2,prod13",12,6600,0.0,0.2
83,1084,1,Client7,"prod12,prod2,prod14",15,3400,0.6,0.8
84,1085,1,Client6,"prod3,prod10,prod13",18,9300,0.4,0.8
85,1086,1,Client5,"prod14,prod3,prod4",18,8700,0.0,0.4
86,1087,1,Client0,"prod12,prod14,prod6",18,5600,0.2,0.6
87,1088,1,Client9,"prod10,prod15",2,2000,0.4,0.0
88,1089,1,Client1,"prod15,prod2,prod15,prod5",11,8200,0.4,0.4
89,1090,1,Client4,"prod12,prod1,prod14",14,3500,0.2,0.4
90,1091,1,Client8,"prod1,prod1,prod3,prod12",17,8200,0.4,0.4
91,1092,1,Client3,"prod9,prod1,prod15",22,18100,0.2,0.2
92,1093,1,Client0,"prod3,prod14,prod3",13,2700,0.2,0.2
93,1094,1,Client8,"prod12,prod6,prod8",16,5000,0.0,0.4
94,1095,1,Client1,"prod2,prod2,prod10",11,6000,0.0,0.2
95,1096,1,Client5,"prod3,prod5,prod1",9,6300,0.2,0.6
96,1097,1,Client8,"prod5,prod3,prod12,prod13",20,7200,0.4,0.6
97,1098,1,Client5,"prod10,prod12,prod9,prod13",20,5000,0.0,0.6
98,1099,1,Client0,"prod15,prod11,prod9,prod6",30,12900,0.4,0.6
99,1100,1,Client5,"prod7,prod15,prod13",19,12000,0.4,0.6
100,1101,1,Client4,"prod14,prod2,prod10",8,6100,0.4,0.4
101,1102,1,Client0,"prod12,prod3,prod6",12,6100,0.6,0.6
102,1103,1,Client0,"prod15,prod12,prod14,prod11",16,5400,0.0,0.6
