,ProdName,MonthNum,OrderID,OrderQty,OrderTotal,ClientName,ProdPrice,Hour,Minute,Day,CliSentiAvg,SpSentiAvg
0,prod4,12,17393,1,800,Client2,800,8,30,4,0.4,0.4
1,prod12,12,17393,1,800,Client2,1600,8,30,4,0.4,0.6
2,prod2,12,17393,1,800,Client2,3500,8,30,4,0.8,0.0
3,prod5,12,17393,1,800,Client2,9000,8,30,4,0.4,0.6
4,prod14,12,17394,2,1000,Client4,100,17,28,3,0.4,0.6
5,prod10,12,17394,2,1000,Client4,3000,17,28,3,0.6,0.6
6,prod2,12,17394,2,1000,Client4,1000,17,28,3,0.2,1.0
7,prod14,12,17395,7,2800,Client2,100,17,22,4,0.8,0.4
8,prod12,12,17395,7,2800,Client2,2800,17,22,4,0.4,0.2
9,prod13,12,17395,7,2800,Client2,400,17,22,4,0.4,0.6
10,prod1,12,17396,6,4800,Client9,700,9,31,5,0.8,0.2
11,prod1,12,17396,6,4800,Client9,7000,9,31,5,0.4,0.0
12,prod14,12,17396,6,4800,Client9,1100,9,31,5,0.4,0.8
13,prod4,12,17396,6,4800,Client9,4800,9,31,5,0.2,0.4
14,prod13,12,17397,1,200,Client6,200,21,5,3,0.2,0.8
15,prod6,12,17397,1,200,Client6,4800,21,5,3,0.6,0.4
16,prod3,12,17397,1,200,Client6,2700,21,5,3,0.4,0.2
17,prod1,12,17398,10,6000,Client0,700,18,36,6,0.4,0.8
18,prod1,12,17398,10,6000,Client0,7000,18,36,6,0.6,0.6
19,prod6,12,17398,10,6000,Client0,6000,18,36,6,0.2,0.6
20,prod2,12,17398,10,6000,Client0,1500,18,36,6,0.8,0.6
21,prod11,12,17399,11,7600,Client0,600,18,26,4,0.2,0.6
22,prod1,12,17399,11,7600,Client0,7000,18,26,4,0.2,0.6
23,prod3,12,17399,11,7600,Client0,2700,18,26,4,0.6,0.0
24,prod3,12,17400,6,3000,Client8,300,21,39,3,0.8,0.4
25,prod15,12,17400,6,3000,Client8,11000,21,39,3,0.6,0.6
26,prod2,12,17400,6,3000,Client8,3000,21,39,3,0.6,0.4
27,prod15,12,17401,3,1800,Client0,1000,15,58,6,0.4,0.6
28,prod11,12,17401,3,1800,Client0,1800,15,58,6,0.2,0.6
29,prod12,12,17401,3,1800,Client0,800,15,58,6,0.6,0.4
30,prod1,12,17401,3,1800,Client0,700,15,58,6,0.8,0.4
31,prod3,12,17402,1,300,Client0,300,12,27,4,0.0,0.6
32,prod2,12,17402,1,300,Client0,3000,12,27,4,0.6,0.6
33,prod15,12,17402,1,300,Client0,8000,12,27,4,0.6,0.6
34,prod15,12,17403,10,7300,Client0,1000,21,20,6,0.4,0.6
